# Date: experiment date, A/B/letters is biological replicates done on the same day									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
12/2/23	yH220	Ca	wildtype	MO	45 min	2 hr	8 mM	100	112
12/2/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	87
12/2/23	yH220	Ca	wildtype	PO	45 min	2 hr	4 mM	100	160
12/2/23	yH220	Ca	wildtype	PO	45 min	2 hr	6 mM	100	180
12/2/23	yH220	Ca	wildtype	PO	45 min	2 hr	8 mM	100	169
12/2/23	yH714	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	240
12/2/23	yH714	Ca	wildtype	MO	45 min	2 hr	4 mM	100	23
12/2/23	yH714	Ca	wildtype	MO	45 min	2 hr	6 mM	100	10
12/2/23	yH714	Ca	wildtype	MO	45 min	2 hr	8 mM	100	6
12/2/23	yH714	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	177
12/2/23	yH714	Ca	wildtype	PO	45 min	2 hr	4 mM	100	12
12/2/23	yH714	Ca	wildtype	PO	45 min	2 hr	6 mM	100	6
12/2/23	yH714	Ca	wildtype	PO	45 min	2 hr	8 mM	100	4
12/04/23	yH714	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	208
12/04/23	yH714	Ca	wildtype	MO	45 min	2 hr	4 mM	100	95
12/04/23	yH714	Ca	wildtype	MO	45 min	2 hr	6 mM	100	23
12/04/23	yH714	Ca	wildtype	MO	45 min	2 hr	8 mM	100	6
12/04/23	yH714	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	201
12/04/23	yH714	Ca	wildtype	PO	45 min	2 hr	4 mM	100	43
12/04/23	yH714	Ca	wildtype	PO	45 min	2 hr	6 mM	100	37
12/04/23	yH714	Ca	wildtype	PO	45 min	2 hr	8 mM	100	18
12/4/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	53
12/4/23	yH220	Ca	wildtype	MO	45 min	2 hr	8 mM	100	33
12/4/23	yH220	Ca	wildtype	MO	45 min	2 hr	10 mM	100	17
12/4/23	yH220	Ca	wildtype	MO	45 min	2 hr	12 mM	100	55
12/4/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	114
12/4/23	yH220	Ca	wildtype	PO	45 min	2 hr	8 mM	100	43
12/4/23	yH220	Ca	wildtype	PO	45 min	2 hr	10 mM	100	39
12/4/23	yH220	Ca	wildtype	PO	45 min	2 hr	12 mM	100	83
12/06/23	yH220	Ca	wildtype	MM	45 min	2 hr	0 mM	1000	129
12/06/23	yH220	Ca	wildtype	MO	45 min	2 hr	8 mM	100	258
12/06/23	yH220	Ca	wildtype	MO	45 min	2 hr	10 mM	100	196
12/06/23	yH220	Ca	wildtype	MO	45 min	2 hr	12 mM	100	112
12/06/23	yH220	Ca	wildtype	PM	45 min	2 hr	0 mM	1000	109
12/06/23	yH220	Ca	wildtype	PO	45 min	2 hr	8 mM	100	141
12/06/23	yH220	Ca	wildtype	PO	45 min	2 hr	10 mM	100	163
12/06/23	yH220	Ca	wildtype	PO	45 min	2 hr	12 mM	100	107
